impl,grid_size,num_thread,seconds
seq,512,4,0.25997
seq,512,8,0.25997
seq,512,16,0.25997
seq,512,32,0.25997
seq,512,1,0.244914
seq,512,2,0.244914
seq,512,4,0.244914
seq,512,8,0.244914
seq,512,16,0.244914
seq,512,32,0.244914
seq,512,1,0.252885
seq,512,2,0.252885
seq,512,4,0.252885
seq,512,8,0.252885
seq,512,16,0.252885
seq,512,32,0.252885
seq,512,1,0.245991
seq,512,2,0.245991
seq,512,4,0.245991
seq,512,8,0.245991
seq,512,16,0.245991
seq,512,32,0.245991
seq,512,1,0.254069
seq,512,2,0.254069
seq,512,4,0.254069
seq,512,8,0.254069
seq,512,16,0.254069
seq,512,32,0.254069
seq,512,1,0.254047
seq,512,2,0.254047
seq,512,4,0.254047
seq,512,8,0.254047
seq,512,16,0.254047
seq,512,32,0.254047
seq,512,1,0.245733
seq,512,2,0.245733
seq,512,4,0.245733
seq,512,8,0.245733
seq,512,16,0.245733
seq,512,32,0.245733
seq,512,1,0.246234
seq,512,2,0.246234
seq,512,4,0.246234
seq,512,8,0.246234
seq,512,16,0.246234
seq,512,32,0.246234
seq,512,1,0.25472
seq,512,2,0.25472
seq,512,4,0.25472
seq,512,8,0.25472
seq,512,16,0.25472
seq,512,32,0.25472
seq,512,1,0.254262
seq,512,2,0.254262
seq,512,4,0.254262
seq,512,8,0.254262
seq,512,16,0.254262
seq,512,32,0.254262
seq,512,1,0.254497
seq,512,2,0.254497
seq,512,4,0.254497
seq,512,8,0.254497
seq,512,16,0.254497
seq,512,32,0.254497
seq,512,1,0.246099
seq,512,2,0.246099
seq,512,4,0.246099
seq,512,8,0.246099
seq,512,16,0.246099
seq,512,32,0.246099
seq,512,1,0.24665
seq,512,2,0.24665
seq,512,4,0.24665
seq,512,8,0.24665
seq,512,16,0.24665
seq,512,32,0.24665
seq,512,1,0.253544
seq,512,2,0.253544
seq,512,4,0.253544
seq,512,8,0.253544
seq,512,16,0.253544
seq,512,32,0.253544
seq,512,1,0.254021
seq,512,2,0.254021
seq,512,4,0.254021
seq,512,8,0.254021
seq,512,16,0.254021
seq,512,32,0.254021
seq,512,1,0.245712
seq,512,2,0.245712
seq,512,4,0.245712
seq,512,8,0.245712
seq,512,16,0.245712
seq,512,32,0.245712
seq,1024,1,0.98176
seq,1024,2,0.98176
seq,1024,4,0.98176
seq,1024,8,0.98176
seq,1024,16,0.98176
seq,1024,32,0.98176
seq,1024,1,0.99344
seq,1024,2,0.99344
seq,1024,4,0.99344
seq,1024,8,0.99344
seq,1024,16,0.99344
seq,1024,32,0.99344
seq,1024,1,0.988844
seq,1024,2,0.988844
seq,1024,4,0.988844
seq,1024,8,0.988844
seq,1024,16,0.988844
seq,1024,32,0.988844
seq,1024,1,0.98968
seq,1024,2,0.98968
seq,1024,4,0.98968
seq,1024,8,0.98968
seq,1024,16,0.98968
seq,1024,32,0.98968
seq,1024,1,0.98164
seq,1024,2,0.98164
seq,1024,4,0.98164
seq,1024,8,0.98164
seq,1024,16,0.98164
seq,1024,32,0.98164
seq,1024,1,0.989005
seq,1024,2,0.989005
seq,1024,4,0.989005
seq,1024,8,0.989005
seq,1024,16,0.989005
seq,1024,32,0.989005
seq,1024,1,0.994488
seq,1024,2,0.994488
seq,1024,4,0.994488
seq,1024,8,0.994488
seq,1024,16,0.994488
seq,1024,32,0.994488
seq,1024,1,0.985247
seq,1024,2,0.985247
seq,1024,4,0.985247
seq,1024,8,0.985247
seq,1024,16,0.985247
seq,1024,32,0.985247
seq,1024,1,0.981843
seq,1024,2,0.981843
seq,1024,4,0.981843
seq,1024,8,0.981843
seq,1024,16,0.981843
seq,1024,32,0.981843
seq,1024,1,0.990348
seq,1024,2,0.990348
seq,1024,4,0.990348
seq,1024,8,0.990348
seq,1024,16,0.990348
seq,1024,32,0.990348
seq,1024,1,0.989547
seq,1024,2,0.989547
seq,1024,4,0.989547
seq,1024,8,0.989547
seq,1024,16,0.989547
seq,1024,32,0.989547
seq,1024,1,0.986303
seq,1024,2,0.986303
seq,1024,4,0.986303
seq,1024,8,0.986303
seq,1024,16,0.986303
seq,1024,32,0.986303
seq,1024,1,0.990324
seq,1024,2,0.990324
seq,1024,4,0.990324
seq,1024,8,0.990324
seq,1024,16,0.990324
seq,1024,32,0.990324
seq,1024,1,0.990968
seq,1024,2,0.990968
seq,1024,4,0.990968
seq,1024,8,0.990968
seq,1024,16,0.990968
seq,1024,32,0.990968
seq,1024,1,0.99036
seq,1024,2,0.99036
seq,1024,4,0.99036
seq,1024,8,0.99036
seq,1024,16,0.99036
seq,1024,32,0.99036
seq,1024,1,0.989367
seq,1024,2,0.989367
seq,1024,4,0.989367
seq,1024,8,0.989367
seq,1024,16,0.989367
seq,1024,32,0.989367
seq,1024,1,0.986816
seq,1024,2,0.986816
seq,1024,4,0.986816
seq,1024,8,0.986816
seq,1024,16,0.986816
seq,1024,32,0.986816
seq,1024,1,0.99622
seq,1024,2,0.99622
seq,1024,4,0.99622
seq,1024,8,0.99622
seq,1024,16,0.99622
seq,1024,32,0.99622
seq,1024,1,0.98199
seq,1024,2,0.98199
seq,1024,4,0.98199
seq,1024,8,0.98199
seq,1024,16,0.98199
seq,1024,32,0.98199
seq,1024,1,0.990452
seq,1024,2,0.990452
seq,1024,4,0.990452
seq,1024,8,0.990452
seq,1024,16,0.990452
seq,1024,32,0.990452
seq,1024,1,0.98949
seq,1024,2,0.98949
seq,1024,4,0.98949
seq,1024,8,0.98949
seq,1024,16,0.98949
seq,1024,32,0.98949
seq,1024,1,0.987995
seq,1024,2,0.987995
seq,1024,4,0.987995
seq,1024,8,0.987995
seq,1024,16,0.987995
seq,1024,32,0.987995
seq,1024,1,0.990413
seq,1024,2,0.990413
seq,1024,4,0.990413
seq,1024,8,0.990413
seq,1024,16,0.990413
seq,1024,32,0.990413
seq,1024,1,0.990067
seq,1024,2,0.990067
seq,1024,4,0.990067
seq,1024,8,0.990067
seq,1024,16,0.990067
seq,1024,32,0.990067
seq,1024,1,0.994302
seq,1024,2,0.994302
seq,1024,4,0.994302
seq,1024,8,0.994302
seq,1024,16,0.994302
seq,1024,32,0.994302
seq,1024,1,0.982482
seq,1024,2,0.982482
seq,1024,4,0.982482
seq,1024,8,0.982482
seq,1024,16,0.982482
seq,1024,32,0.982482
seq,1024,1,0.998353
seq,1024,2,0.998353
seq,1024,4,0.998353
seq,1024,8,0.998353
seq,1024,16,0.998353
seq,1024,32,0.998353
seq,1024,1,0.989208
seq,1024,2,0.989208
seq,1024,4,0.989208
seq,1024,8,0.989208
seq,1024,16,0.989208
seq,1024,32,0.989208
seq,1024,1,0.982743
seq,1024,2,0.982743
seq,1024,4,0.982743
seq,1024,8,0.982743
seq,1024,16,0.982743
seq,1024,32,0.982743
seq,1024,1,0.9895
seq,1024,2,0.9895
seq,1024,4,0.9895
seq,1024,8,0.9895
seq,1024,16,0.9895
seq,1024,32,0.9895
seq,2048,1,3.953908
seq,2048,2,3.953908
seq,2048,4,3.953908
seq,2048,8,3.953908
seq,2048,16,3.953908
seq,2048,32,3.953908
seq,2048,1,3.9549
seq,2048,2,3.9549
seq,2048,4,3.9549
seq,2048,8,3.9549
seq,2048,16,3.9549
seq,2048,32,3.9549
seq,2048,1,3.948532
seq,2048,2,3.948532
seq,2048,4,3.948532
seq,2048,8,3.948532
seq,2048,16,3.948532
seq,2048,32,3.948532
seq,2048,1,3.952236
seq,2048,2,3.952236
seq,2048,4,3.952236
seq,2048,8,3.952236
seq,2048,16,3.952236
seq,2048,32,3.952236
seq,2048,1,3.952164
seq,2048,2,3.952164
seq,2048,4,3.952164
seq,2048,8,3.952164
seq,2048,16,3.952164
seq,2048,32,3.952164
seq,2048,1,3.955943
seq,2048,2,3.955943
seq,2048,4,3.955943
seq,2048,8,3.955943
seq,2048,16,3.955943
seq,2048,32,3.955943
seq,2048,1,3.954115
seq,2048,2,3.954115
seq,2048,4,3.954115
seq,2048,8,3.954115
seq,2048,16,3.954115
seq,2048,32,3.954115
seq,2048,1,3.947962
seq,2048,2,3.947962
seq,2048,4,3.947962
seq,2048,8,3.947962
seq,2048,16,3.947962
seq,2048,32,3.947962
seq,2048,1,3.95444
seq,2048,2,3.95444
seq,2048,4,3.95444
seq,2048,8,3.95444
